Code,SCID,Name,Type,Watershed,Latitude,Longitude,Altitude,Variable
1200014400,BFPJ072,KASSOU,Agroclimatic,Volta,11.5833,-2.05,330,pr
1200015000,BFPJ075,KIE,Agroclimatic,Volta,12.0667,-4.05,310,pr
1200008000,BFPJ036,DI,Agrobioclimatic,Volta,13.1667,-3.4167,254,pr
1200010600,BFPJ049,FARAKO-BA,Agrobioclimatic,Volta,11.1,-4.3333,405,pr
1200010600,BFT4020,FARAKO-BA,Agrobioclimatic,Volta,11.1,-4.3333,405,tmax
1200010600,BFT4060,FARAKO-BA,Agrobioclimatic,Volta,11.1,-4.3333,405,tmin
1200034700,BFPJ168,VALLEE DU KOU,Agrobioclimatic,Volta,11.3667,-4.3833,303,pr
1200034700,BFT4034,VALLEE DU KOU,Agrobioclimatic,Volta,11.3667,-4.3833,303,tmax
1200034700,BFT4074,VALLEE DU KOU,Agrobioclimatic,Volta,11.3667,-4.3833,303,tmin
1200001300,BFPJ006,BANANKELEDAGA,Climatological,Volta,11.3167,-4.3333,329,pr
1200003300,BFPJ013,BAZEGA,Climatological,Volta,11.7333,-1.3333,300,pr
1200003300,BFT4035,BAZEGA,Climatological,Volta,11.7333,-1.3333,300,tmax
1200003300,BFT4075,BAZEGA,Climatological,Volta,11.7333,-1.3333,300,tmin
1200003500,BFPJ015,BEREGADOUGOU,Climatological,Comoe,10.75,-4.73333,331,pr
1200003500,BFT4036,BEREGADOUGOU,Climatological,Comoe,10.75,-4.73333,331,tmax
1200003500,BFT4076,BEREGADOUGOU,Climatological,Comoe,10.75,-4.73333,331,tmin
1200004300,BFPJ020,BOGANDE,Synoptic,Niger,12.9833,-0.1333,250,pr
1200004300,BFT4017,BOGANDE,Synoptic,Niger,12.9833,-0.1333,250,tmax
1200004300,BFT4057,BOGANDE,Synoptic,Niger,12.9833,-0.1333,250,tmin
1200008200,BFPJ038,DIAPAGA,Climatological,Niger,12.0667,1.7833,270,pr
1200008200,BFT4019,DIAPAGA,Climatological,Niger,12.0667,1.7833,270,tmax
1200008200,BFT4059,DIAPAGA,Climatological,Niger,12.0667,1.7833,270,tmin
1200008800,BFPJ040,DIEBOUGOU,Climatological,Volta,10.9667,-3.25,294,pr
1200008800,BFT4030,DIEBOUGOU,Climatological,Volta,10.9667,-3.25,294,tmax
1200008800,BFT4070,DIEBOUGOU,Climatological,Volta,10.9667,-3.25,294,tmin
1200009700,BFPJ045,DJIBO,Climatological,Niger,14.1,-1.6167,274,pr
1200009700,BFT4001,DJIBO,Climatological,Niger,14.1,-1.6167,274,tmax
1200009700,BFT4041,DJIBO,Climatological,Niger,14.1,-1.6167,274,tmin
1200014800,BFPJ074,KAYA,Climatological,Volta,13.1,-1.0833,313,pr
1200014800,BFT4008,KAYA,Climatological,Volta,13.1,-1.0833,313,tmax
1200014800,BFT4048,KAYA,Climatological,Volta,13.1,-1.0833,313,tmin
1200017200,BFPJ084,KOUDOUGOU,Climatological,Volta,12.25,-2.3667,250,pr
1200017200,BFT4011,KOUDOUGOU,Climatological,Volta,12.25,-2.3667,250,tmax
1200017200,BFT4051,KOUDOUGOU,Climatological,Volta,12.25,-2.3667,250,tmin
1200019000,BFPJ094,LEO,Climatological,Volta,11.1,-2.1,347,pr
1200019000,BFT4023,LEO,Climatological,Volta,11.1,-2.1,347,tmax
1200019000,BFT4063,LEO,Climatological,Volta,11.1,-2.1,347,tmin
1200020800,BFPJ102,MARKOYE,Climatological,Niger,14.6333,0.0667,295,pr
1200020800,BFT4003,MARKOYE,Climatological,Niger,14.6333,0.0667,295,tmax
1200020800,BFT4043,MARKOYE,Climatological,Niger,14.6333,0.0667,295,tmin
1200022600,BFPJ109,NIANGOLOKO,Climatological,Comoe,10.2667,-4.9167,320,pr
1200022600,BFT4029,NIANGOLOKO,Climatological,Comoe,10.2667,-4.9167,320,tmax
1200022600,BFT4069,NIANGOLOKO,Climatological,Comoe,10.2667,-4.9167,320,tmin
1200024000,BFPJ121,OUAGADOUGOU (SOMGANDE),Climatological,Volta,12.3667,-1.5333,294,pr
1200028600,BFPJ142,SARIA,Climatological,Volta,12.2667,-2.15,300,pr
1200028600,BFT4013,SARIA,Climatological,Volta,12.2667,-2.15,300,tmax
1200028600,BFT4053,SARIA,Climatological,Volta,12.2667,-2.15,300,tmin
1200029300,BFPJ145,SEREFEDOUGOU,Climatological,Comoe,10.7333,-4.7,306,pr
1200031300,BFPJ156,TENKODOGO,Climatological,Volta,11.7667,-0.3833,302,pr
1200031300,BFT4026,TENKODOGO,Climatological,Volta,11.7667,-0.3833,302,tmax
1200031300,BFT4066,TENKODOGO,Climatological,Volta,11.7667,-0.3833,302,tmin
1200034000,BFPJ166,TOUGAN,Climatological,Volta,13.0833,-3.0667,305,pr
1200034000,BFT4005,TOUGAN,Climatological,Volta,13.0833,-3.0667,305,tmax
1200034000,BFT4045,TOUGAN,Climatological,Volta,13.0833,-3.0667,305,tmin
1200035200,BFPJ170,YAKO,Climatological,Volta,12.9667,-2.2667,294,pr
1200035200,BFT4012,YAKO,Climatological,Volta,12.9667,-2.2667,294,tmax
1200035200,BFT4052,YAKO,Climatological,Volta,12.9667,-2.2667,294,tmin
1200004000,BFPJ019,BOBO-DIOULASSO,Synoptic,Volta,11.1667,-4.3167,459,pr
1200004000,BFT4021,BOBO-DIOULASSO,Synoptic,Volta,11.1667,-4.3167,459,tmax
1200004000,BFT4061,BOBO-DIOULASSO,Synoptic,Volta,11.1667,-4.3167,459,tmin
1200005200,BFPJ023,BOROMO,Synoptic,Volta,11.75,-2.9333,270,pr
1200005200,BFT4022,BOROMO,Synoptic,Volta,11.75,-2.9333,270,tmax
1200005200,BFT4062,BOROMO,Synoptic,Volta,11.75,-2.9333,270,tmin
1200007900,BFPJ035,DEDOUGOU,Synoptic,Volta,12.4667,-3.4667,308,pr
1200007900,BFT4010,DEDOUGOU,Synoptic,Volta,12.4667,-3.4667,308,tmax
1200007900,BFT4050,DEDOUGOU,Synoptic,Volta,12.4667,-3.4667,308,tmin
1200010000,BFPJ046,DORI,Synoptic,Niger,14.03333,-0.0333,288,pr
1200010000,BFT4002,DORI,Synoptic,Niger,14.03333,-0.0333,288,tmax
